Wed Feb 17 11:37:10 2021   -   Prosess 8 kobler fra klient, forelder er 2
Wed Feb 17 11:37:10 2021   -   Prosess 9 koblet til klient, forelder er 2
Wed Feb 17 11:37:10 2021   -   Prosess 9 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:37:10 2021   -   Prosess 9 kobler fra klient, forelder er 2
Wed Feb 17 11:37:10 2021   -   Prosess 10 koblet til klient, forelder er 2
Wed Feb 17 11:37:10 2021   -   Prosess 10 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:37:10 2021   -   Prosess 10 kobler fra klient, forelder er 2
Wed Feb 17 11:37:57 2021   -   Prosess 11 koblet til klient, forelder er 2
Wed Feb 17 11:37:57 2021   -   Prosess 11 etterspurte ugyldig filtype., forelder er 2
Wed Feb 17 11:37:57 2021   -   Prosess 11 onion, forelder er 2
Wed Feb 17 11:37:57 2021   -   Prosess 11 kobler fra klient, forelder er 2
Wed Feb 17 11:38:09 2021   -   Prosess 12 koblet til klient, forelder er 2
Wed Feb 17 11:38:09 2021   -   Prosess 12 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:38:09 2021   -   Prosess 12 etterspurte fil som ikke eksisterer, forelder er 2
Wed Feb 17 11:38:09 2021   -   Prosess 12 kobler fra klient, forelder er 2
PID:	2PPID:	1Wed Feb 17 11:39:26 2021   -   Prosess 2 er knyttet til port 80.
Wed Feb 17 11:39:37 2021   -   Prosess 3 koblet til klient, forelder er 2
Wed Feb 17 11:39:37 2021   -   Prosess 3 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:39:37 2021   -   Prosess 3 kobler fra klient, forelder er 2
Wed Feb 17 11:39:37 2021   -   Prosess 4 koblet til klient, forelder er 2
Wed Feb 17 11:39:37 2021   -   Prosess 4 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:39:37 2021   -   Prosess 4 kobler fra klient, forelder er 2
Wed Feb 17 11:39:59 2021   -   Prosess 5 koblet til klient, forelder er 2
Wed Feb 17 11:39:59 2021   -   Prosess 5 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:39:59 2021   -   Prosess 5 kobler fra klient, forelder er 2
Wed Feb 17 11:39:59 2021   -   Prosess 6 koblet til klient, forelder er 2
Wed Feb 17 11:39:59 2021   -   Prosess 6 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:39:59 2021   -   Prosess 6 kobler fra klient, forelder er 2
Wed Feb 17 11:39:59 2021   -   Prosess 7 koblet til klient, forelder er 2
Wed Feb 17 11:39:59 2021   -   Prosess 7 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:39:59 2021   -   Prosess 7 kobler fra klient, forelder er 2
Wed Feb 17 11:40:03 2021   -   Prosess 8 koblet til klient, forelder er 2
Wed Feb 17 11:40:03 2021   -   Prosess 8 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:40:03 2021   -   Prosess 8 kobler fra klient, forelder er 2
Wed Feb 17 11:40:03 2021   -   Prosess 9 koblet til klient, forelder er 2
Wed Feb 17 11:40:03 2021   -   Prosess 9 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:40:03 2021   -   Prosess 9 kobler fra klient, forelder er 2
Wed Feb 17 11:40:03 2021   -   Prosess 10 koblet til klient, forelder er 2
Wed Feb 17 11:40:03 2021   -   Prosess 10 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:40:03 2021   -   Prosess 10 kobler fra klient, forelder er 2
PID:	2PPID:	1Wed Feb 17 11:41:26 2021   -   Prosess 2 er knyttet til port 80.
Wed Feb 17 11:41:28 2021   -   Prosess 3 koblet til klient, forelder er 2
Wed Feb 17 11:41:28 2021   -   Prosess 3 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:41:28 2021   -   Prosess 3 kobler fra klient, forelder er 2
Wed Feb 17 11:41:28 2021   -   Prosess 4 koblet til klient, forelder er 2
Wed Feb 17 11:41:28 2021   -   Prosess 4 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:41:28 2021   -   Prosess 4 kobler fra klient, forelder er 2
Wed Feb 17 11:41:28 2021   -   Prosess 5 koblet til klient, forelder er 2
Wed Feb 17 11:41:28 2021   -   Prosess 5 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:41:28 2021   -   Prosess 5 kobler fra klient, forelder er 2
Wed Feb 17 11:41:30 2021   -   Prosess 6 koblet til klient, forelder er 2
Wed Feb 17 11:41:30 2021   -   Prosess 6 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:41:30 2021   -   Prosess 6 kobler fra klient, forelder er 2
Wed Feb 17 11:41:30 2021   -   Prosess 7 koblet til klient, forelder er 2
Wed Feb 17 11:41:30 2021   -   Prosess 7 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:41:30 2021   -   Prosess 7 kobler fra klient, forelder er 2
Wed Feb 17 11:41:30 2021   -   Prosess 8 koblet til klient, forelder er 2
Wed Feb 17 11:41:30 2021   -   Prosess 8 etterspurte gyldig filtype, forelder er 2
Wed Feb 17 11:41:30 2021   -   Prosess 8 kobler fra klient, forelder er 2
Wed Feb 17 11:41:35 2021   -   Prosess 9 koblet til klient, forelder er 2
